GC		EMAX		EMOY		SC
non		50		17.198		[1 54 61 ]
non		25		9.0		[1 31 44 ]
non		24		8.517		[1 30 51 ]
oui						[1 2 9 94 ]
non		45		13.938		[1 51 82 ]
non		20		7.856		[1 27 48 85 ]
non		15		5.633		[1 21 80 97 ]
non		21		7.345		[1 26 30 67 ]
oui						[1 29 58 ]
non		80		13.942		[1 82 84 87 ]
non		24		8.347		[1 28 34 52 ]
non		48		15.615		[1 54 59 ]
non		3		0.84		[1 2 10 13 ]
non		46		15.248		[1 49 54 ]
non		8		1.599		[1 10 53 97 ]
non		42		14.964		[1 64 85 ]
non		49		14.972		[1 54 75 100 ]
non		70		15.09		[1 77 83 ]
non		28		9.709		[1 34 88 98 ]
non		56		17.756		[1 58 81 87 ]
oui						[1 5 25 ]
non		54		17.794		[1 58 62 87 ]
non		45		16.523		[1 52 86 92 ]
non		53		17.97		[1 63 72 ]
non		8		2.226		[1 14 20 59 ]
non		16		3.493		[1 5 75 94 ]
non		75		15.844		[1 78 80 84 ]
oui						[1 6 27 ]
non		19		6.251		[1 22 86 89 ]
oui						[1 16 93 ]
non		8		2.545		[1 14 33 ]
non		14		3.76		[1 5 78 100 ]
non		4		0.978		[1 2 19 63 ]
non		16		1.549		[1 17 66 83 ]
non		15		5.11		[1 23 62 ]
non		21		8.116		[1 23 48 50 ]
non		10		2.918		[1 13 19 32 ]
non		12		3.281		[1 7 76 85 ]
non		34		10.842		[1 44 96 ]
non		3		1.084		[1 17 80 ]
oui						[1 11 12 ]
non		24		8.21		[1 33 62 ]
non		21		8.156		[1 41 78 ]
non		15		5.609		[1 17 67 72 ]
oui						[1 2 66 ]
non		9		3.162		[1 21 92 ]
non		21		1.772		[1 4 88 91 ]
non		72		5.756		[1 75 77 ]
non		23		8.747		[1 29 70 96 ]
non		40		13.814		[1 44 53 82 ]
oui						[1 12 68 ]
oui						[1 8 46 ]
non		4		1.373		[1 10 26 ]
non		24		8.036		[1 31 40 97 ]
non		36		12.503		[1 41 61 93 ]
non		83		4.81		[1 86 88 ]
non		32		11.557		[1 35 72 94 ]
oui						[1 9 81 ]
non		31		9.838		[1 63 94 ]
non		10		3.409		[1 12 72 78 ]
oui						[1 22 89 ]
oui						[1 53 54 ]
oui						[1 29 57 ]
non		16		5.549		[1 19 23 39 ]
non		44		16.439		[1 47 49 61 ]
non		48		16.144		[1 62 99 ]
non		9		3.054		[1 20 30 ]
non		32		10.22		[1 37 65 ]
non		38		11.898		[1 41 54 83 ]
non		16		3.307		[1 18 50 83 ]
non		42		14.132		[1 44 78 79 ]
oui						[1 8 63 ]
non		22		8.707		[1 27 51 69 ]
non		30		10.03		[1 37 58 ]
non		13		4.164		[1 13 66 74 ]
non		19		5.91		[1 24 51 ]
non		8		3.162		[1 20 69 ]
non		28		9.202		[1 35 79 ]
non		16		6.367		[1 21 48 65 ]
oui						[1 10 91 ]
non		12		3.198		[1 10 70 82 ]
non		7		2.104		[1 14 46 46 ]
oui						[1 2 99 ]
non		10		3.776		[1 11 37 40 ]
non		51		18.377		[1 57 60 99 ]
oui						[1 3 16 ]
non		45		14.487		[1 49 62 82 ]
non		8		2.068		[1 10 70 99 ]
non		24		8.347		[1 27 58 73 ]
non		64		22.565		[1 75 76 87 ]
non		16		4.683		[1 20 28 69 ]
non		8		2.747		[1 5 43 50 ]
oui						[1 7 61 ]
oui						[1 4 7 78 ]
non		27		10.301		[1 29 36 37 ]
non		6		2.635		[1 18 66 ]
oui						[1 26 27 ]
non		12		4.072		[1 22 79 ]
oui						[1 27 54 ]
non		13		4.469		[1 17 24 ]
Proportion des systeme Glouton Compatible 21/100
Proportion des systeme Glouton Non Compatible 79/100
