GC		EMAX		EMOY		SC
non		56		10.1		[1 61 65 ]
non		30		10.306		[1 35 39 58 ]
non		50		16.512		[1 56 65 91 ]
non		1		0.272		[1 6 15 45 ]
oui						[1 9 61 ]
non		44		13.176		[1 47 69 82 ]
non		47		15.96		[1 52 56 60 ]
non		15		3.0		[1 19 58 94 ]
non		28		9.063		[1 37 84 ]
non		45		16.442		[1 56 69 ]
non		26		8.814		[1 32 50 59 ]
non		9		2.588		[1 6 43 47 ]
non		46		15.734		[1 53 73 86 ]
non		4		1.439		[1 10 29 74 ]
non		4		1.442		[1 9 41 72 ]
oui						[1 2 78 ]
non		21		6.897		[1 24 43 65 ]
non		16		5.103		[1 33 49 ]
non		40		11.475		[1 42 75 76 ]
non		19		4.186		[1 25 78 ]
non		16		4.485		[1 17 55 75 ]
non		4		1.771		[1 15 42 ]
non		12		4.306		[1 18 23 45 ]
oui						[1 2 92 ]
oui						[1 9 34 67 ]
non		21		6.837		[1 44 66 ]
non		5		1.628		[1 12 18 ]
non		17		3.203		[1 18 67 99 ]
non		20		6.92		[1 29 66 ]
non		35		12.392		[1 41 46 ]
non		66		8.239		[1 71 75 ]
oui						[1 3 37 ]
non		35		9.249		[1 45 98 ]
non		6		1.927		[1 14 34 88 ]
non		16		5.159		[1 19 44 71 ]
non		18		5.801		[1 22 42 66 ]
oui						[1 3 60 ]
non		4		1.568		[1 14 62 ]
non		13		3.983		[1 16 33 69 ]
non		7		2.186		[1 15 22 ]
oui						[1 24 48 ]
non		39		10.95		[1 44 74 ]
non		6		1.754		[1 10 67 94 ]
non		47		16.518		[1 50 60 63 ]
oui						[1 3 12 59 ]
non		35		11.944		[1 43 48 85 ]
non		38		13.435		[1 43 51 99 ]
non		21		8.342		[1 25 28 31 ]
non		48		13.173		[1 56 95 ]
non		16		3.03		[1 13 91 93 ]
non		28		6.472		[1 30 74 90 ]
non		17		5.761		[1 23 38 96 ]
non		16		5.555		[1 21 37 ]
non		65		13.488		[1 73 80 ]
non		18		6.199		[1 22 46 81 ]
non		6		1.834		[1 3 35 91 ]
non		58		16.405		[1 75 91 ]
non		2		0.229		[1 4 5 13 ]
non		13		2.93		[1 10 92 98 ]
non		25		3.176		[1 30 92 ]
oui						[1 49 99 ]
oui						[1 9 94 ]
oui						[1 7 32 95 ]
oui						[1 9 26 ]
non		13		3.611		[1 17 36 70 ]
non		56		16.86		[1 68 81 94 ]
non		8		2.1		[1 11 13 93 ]
oui						[1 4 98 ]
non		39		12.385		[1 45 64 81 ]
oui						[1 33 66 ]
non		18		2.339		[1 24 98 ]
non		46		14.153		[1 54 61 ]
non		30		11.03		[1 36 46 ]
non		64		16.08		[1 72 98 ]
non		28		10.664		[1 33 37 83 ]
oui						[1 22 45 ]
non		8		2.751		[1 15 39 ]
non		7		2.279		[1 15 36 ]
non		10		3.618		[1 16 27 69 ]
non		79		8.97		[1 86 92 ]
non		28		10.0		[1 51 75 ]
non		31		9.591		[1 33 70 72 ]
non		25		7.611		[1 2 63 75 ]
non		38		12.997		[1 56 92 ]
non		34		10.027		[1 39 55 ]
non		72		6.877		[1 76 79 ]
non		10		2.246		[1 12 13 66 ]
oui						[1 22 44 ]
non		3		1.462		[1 25 96 ]
non		38		12.126		[1 43 69 89 ]
oui						[1 11 23 ]
non		38		11.748		[1 46 72 ]
non		65		14.286		[1 76 86 ]
non		19		4.346		[1 19 74 83 ]
non		69		18.508		[1 73 87 90 ]
non		9		2.764		[1 14 35 88 ]
non		11		3.721		[1 17 38 91 ]
non		38		12.379		[1 43 69 79 ]
non		16		7.628		[1 42 79 ]
non		44		15.495		[1 48 53 83 ]
Proportion des systeme Glouton Compatible 17/100
Proportion des systeme Glouton Non Compatible 83/100
