GC		EMAX		EMOY		SC
non		1		0.299		[1 4 6 62 ]
oui						[1 17 81 ]
non		41		10.433		[1 46 75 95 ]
non		17		4.891		[1 21 35 78 ]
non		30		11.841		[1 55 81 ]
non		18		5.065		[1 19 45 53 ]
non		32		10.284		[1 34 45 49 ]
non		8		3.741		[1 25 93 ]
non		63		16.91		[1 65 79 80 ]
oui						[1 11 91 ]
non		18		7.194		[1 25 34 58 ]
non		30		10.299		[1 36 46 ]
non		38		13.453		[1 51 63 100 ]
non		13		2.985		[1 21 88 ]
non		56		9.313		[1 63 69 ]
non		28		9.697		[1 33 38 61 ]
non		8		4.06		[1 34 65 ]
non		45		16.204		[1 60 67 88 ]
non		9		2.597		[1 12 53 81 ]
non		40		10.408		[1 44 75 90 ]
non		72		15.045		[1 77 98 ]
non		30		10.796		[1 43 75 ]
oui						[1 5 10 81 ]
oui						[1 23 92 ]
non		31		10.955		[1 36 43 66 ]
non		11		4.219		[1 14 54 57 ]
non		24		9.871		[1 48 87 ]
non		44		7.97		[1 47 71 ]
non		24		8.478		[1 29 75 82 ]
non		40		13.294		[1 65 89 ]
oui						[1 2 28 ]
non		4		2.189		[1 25 95 ]
non		24		4.269		[1 26 80 81 ]
oui						[1 16 96 ]
non		7		2.299		[1 16 54 ]
non		15		5.0		[1 19 62 76 ]
non		25		7.826		[1 27 28 64 ]
non		18		6.488		[1 24 40 70 ]
non		22		6.468		[1 29 63 ]
non		44		14.338		[1 56 78 ]
non		6		3.144		[1 46 89 ]
non		7		2.507		[1 16 39 ]
non		25		9.025		[1 29 33 42 ]
non		19		6.1		[1 30 72 ]
non		10		3.637		[1 14 51 67 ]
non		4		0.597		[1 13 93 ]
non		26		9.09		[1 30 33 ]
non		41		14.323		[1 48 61 83 ]
non		46		2.02		[1 2 96 99 ]
non		5		2.289		[1 2 35 96 ]
non		15		5.174		[1 20 34 ]
oui						[1 5 71 ]
non		6		0.667		[1 5 37 75 ]
non		6		2.846		[1 49 95 ]
non		30		11.642		[1 37 43 ]
non		20		7.965		[1 25 30 54 ]
non		23		5.572		[1 2 57 89 ]
non		27		7.154		[1 31 66 100 ]
non		20		7.522		[1 23 26 ]
oui						[1 10 87 ]
oui						[1 5 44 ]
non		2		0.617		[1 11 21 90 ]
non		12		2.527		[1 11 73 88 ]
non		32		11.552		[1 36 47 89 ]
non		19		6.806		[1 39 96 ]
non		34		10.542		[1 45 72 ]
oui						[1 42 85 ]
non		6		2.537		[1 17 62 ]
non		46		15.99		[1 64 81 ]
non		6		1.453		[1 8 9 69 ]
oui						[1 30 31 ]
non		20		8.109		[1 30 54 ]
Proportion des systeme Glouton Compatible 1/200
Proportion des systeme Glouton Non Compatible 199/200
