GC		EMAX		EMOY		SC
non		6		1.412		[1 7 8 10 11 11 12 16 20 22 23 33 34 34 36 42 46 ]
non		8		2.667		[1 11 15 ]
non		4		1.275		[1 5 9 10 18 24 28 30 35 35 36 37 38 40 46 ]
non		6		1.941		[1 8 15 16 18 20 25 27 30 38 47 ]
non		4		0.843		[1 2 3 13 25 30 34 34 36 39 47 ]
non		3		0.745		[1 3 4 7 8 8 12 19 22 31 32 36 39 40 43 ]
non		4		1.118		[1 4 11 17 21 28 32 33 45 48 50 ]
non		5		1.235		[1 3 10 19 22 43 45 46 49 50 ]
non		3		0.725		[1 3 6 7 16 16 18 20 21 25 26 26 30 35 38 42 43 47 48 ]
non		3		0.824		[1 2 3 13 15 21 23 24 25 28 28 29 32 33 48 ]
non		6		2.235		[1 15 37 ]
non		11		3.725		[1 14 16 ]
non		8		1.922		[1 9 10 13 31 33 34 41 ]
non		5		1.549		[1 6 13 14 16 17 19 27 39 43 47 ]
non		3		0.961		[1 2 8 15 18 20 20 22 32 35 38 40 47 48 ]
non		3		0.843		[1 4 8 10 13 17 17 18 19 23 25 28 32 33 33 33 42 ]
non		3		0.922		[1 2 4 11 15 26 27 28 30 31 32 33 37 39 43 44 46 47 ]
non		4		0.588		[1 4 9 21 26 49 ]
non		11		3.471		[1 15 37 40 ]
non		4		0.824		[1 5 7 9 19 20 22 32 35 ]
non		5		1.451		[1 4 16 20 21 25 25 33 35 37 37 39 41 44 ]
non		5		0.902		[1 8 15 31 ]
non		5		1.471		[1 4 7 29 30 33 33 34 34 39 44 46 48 ]
non		4		1.373		[1 7 8 9 15 ]
non		2		0.314		[1 2 2 3 4 5 12 17 21 26 31 37 41 43 49 49 ]
non		9		2.882		[1 11 13 26 27 46 46 ]
non		14		5.686		[1 27 39 ]
non		13		4.588		[1 30 46 ]
oui						[1 10 49 ]
non		4		0.941		[1 2 6 23 27 33 ]
non		9		2.235		[1 10 11 23 25 26 31 32 37 38 43 50 ]
non		4		1.078		[1 5 6 7 11 15 19 19 29 29 32 37 38 46 48 48 ]
non		4		1.0		[1 2 8 20 24 25 25 29 32 34 35 35 39 43 43 45 46 47 49 ]
non		2		0.706		[1 2 2 3 7 11 18 25 26 36 41 44 46 48 49 ]
non		3		0.863		[1 3 3 8 11 14 16 17 27 29 30 30 41 42 46 49 ]
non		18		4.569		[1 20 26 29 35 36 45 ]
non		5		1.176		[1 3 13 29 33 34 34 36 44 44 48 ]
non		6		1.392		[1 3 18 20 22 28 34 38 40 42 45 ]
non		2		0.608		[1 2 5 7 10 12 13 18 19 21 27 33 34 38 38 40 41 43 46 ]
non		2		0.353		[1 3 8 9 11 13 23 33 47 ]
non		2		0.667		[1 2 3 8 10 14 15 21 23 26 31 37 42 43 45 46 49 ]
non		3		0.706		[1 2 6 9 9 16 23 28 28 31 48 49 ]
non		15		3.49		[1 17 20 28 40 44 48 ]
non		4		0.98		[1 4 7 11 11 14 27 32 41 44 45 48 ]
non		5		1.255		[1 3 16 17 22 39 44 50 ]
non		4		1.333		[1 6 6 13 37 41 ]
non		9		3.412		[1 17 40 ]
non		7		1.961		[1 7 17 19 20 36 38 39 39 40 40 46 ]
non		3		0.843		[1 4 11 12 14 20 22 36 41 49 ]
non		3		0.588		[1 5 8 8 11 14 18 20 23 47 ]
non		6		1.824		[1 8 11 21 30 43 47 ]
non		7		1.686		[1 8 16 18 20 24 29 31 37 41 45 45 48 49 ]
non		2		0.706		[1 3 7 11 16 18 20 23 37 45 47 49 ]
non		3		0.569		[1 2 4 5 6 7 11 11 13 15 27 29 31 32 33 35 43 45 46 47 ]
non		3		0.706		[1 4 6 7 8 15 18 20 27 29 34 38 39 48 49 49 ]
oui						[1 23 46 ]
non		17		5.529		[1 19 23 26 28 33 41 41 ]
non		6		1.549		[1 7 8 10 15 15 30 41 43 46 49 50 ]
non		2		0.647		[1 2 5 7 13 15 17 20 24 24 27 33 35 37 38 41 ]
non		3		1.039		[1 5 11 23 31 40 46 ]
non		3		1.275		[1 6 8 13 19 24 ]
non		3		0.706		[1 3 8 13 13 14 14 15 15 19 20 22 28 31 34 41 47 48 ]
non		9		2.804		[1 11 14 15 21 23 31 32 34 46 ]
non		3		0.863		[1 2 4 5 20 26 27 30 32 49 49 ]
Proportion des systeme Glouton Compatible 3/100
Proportion des systeme Glouton Non Compatible 97/100
