GC		EMAX		EMOY		SC
non		4		0.98		[1 4 5 7 25 31 32 40 45 50 ]
non		2		0.647		[1 2 2 4 11 15 18 18 18 20 20 20 27 28 34 38 39 44 47 50 ]
non		8		0.922		[1 2 4 5 41 42 44 47 ]
non		2		0.471		[1 2 3 7 12 17 25 30 33 36 38 38 40 40 48 ]
non		4		0.922		[1 4 10 12 14 22 23 26 29 30 32 35 38 42 44 47 ]
non		3		0.902		[1 3 7 18 25 34 36 37 39 45 50 ]
non		5		1.529		[1 5 16 28 29 30 34 43 44 ]
non		7		2.176		[1 8 17 21 26 37 39 42 43 ]
non		4		1.569		[1 2 11 12 12 15 17 26 28 37 37 38 39 42 43 43 44 ]
non		28		6.765		[1 33 46 50 ]
non		3		1.078		[1 2 9 13 15 17 18 18 19 19 25 37 41 42 44 ]
non		5		1.412		[1 6 6 7 11 22 30 31 33 42 44 46 49 50 ]
non		4		0.961		[1 4 19 36 46 ]
non		7		1.98		[1 9 12 13 15 18 28 30 33 38 38 40 49 ]
non		9		2.333		[1 11 13 14 16 19 19 19 20 30 32 34 40 41 43 47 ]
non		5		1.451		[1 6 9 21 21 24 26 26 29 30 32 40 41 42 45 45 46 ]
non		5		1.471		[1 6 12 14 15 16 16 18 29 31 38 39 42 42 42 49 ]
non		2		0.392		[1 2 3 4 8 9 10 11 12 16 22 29 31 31 33 37 37 39 41 ]
non		4		1.412		[1 5 16 23 27 29 34 50 ]
non		4		1.039		[1 6 7 8 11 15 18 18 20 28 28 33 33 36 38 41 50 ]
non		7		2.196		[1 8 11 13 22 23 ]
non		3		0.882		[1 2 8 9 10 17 18 19 24 29 32 34 34 36 40 40 42 43 47 ]
non		9		2.902		[1 10 11 29 29 34 34 36 ]
non		2		0.49		[1 2 3 3 6 6 6 14 17 19 22 26 26 31 34 39 44 48 49 ]
non		25		6.275		[1 33 41 48 ]
non		3		0.745		[1 4 5 7 8 12 14 17 20 21 21 22 30 33 35 35 39 42 45 50 ]
non		6		1.765		[1 7 8 8 14 30 30 38 43 45 47 49 ]
oui						[1 39 40 ]
non		6		1.529		[1 7 7 8 13 16 18 20 20 23 32 32 34 41 42 43 46 48 ]
non		5		1.235		[1 2 10 10 15 25 37 46 47 47 50 ]
non		15		4.863		[1 17 22 24 26 ]
non		4		1.02		[1 3 3 3 3 9 18 26 28 29 30 30 30 34 35 37 39 40 42 48 ]
non		4		0.843		[1 5 10 13 15 16 17 18 20 21 25 27 27 28 30 31 34 41 41 48 ]
non		3		0.824		[1 2 3 11 18 19 21 30 35 36 38 41 48 48 50 ]
non		4		1.039		[1 2 2 10 17 20 31 34 50 ]
non		12		3.373		[1 14 22 29 30 41 45 47 48 ]
